ID do Produto,Nome do Produto,Unnamed: 2
58262428141,Biscoito Marilan Pit Stop Cebola e salsa 60g,
58262428130,Snack Rice Cracker Kodilar Creme de Cebola 84g,
58262428125,Biscoito Mucilon Milho 35g,
58262428117,Refresco de Água de Coco Sococo Frutas Vermelhas 200ml,
58262428065,Inseticida Aerossol Mata Baratas e Formigas Base Água Raid 420ml Emb. Econômica,
58262428057,Removedor Brasil Limpeza Leve 500ml,
58262428053,Limpador Perfumado Coala Talco 120ml,
58262427990,Desengordurante Mr. Músculo Cozinha Platinum 400ml,
58262427966,Sapólio Radium Cremoso Clássico 450ml,
